Hoarding Id,City,Location,Facing Traffic From,Traffic To,HOARDING SIZE,NAME OF ROAD,LANDMARK,TYPE OF AREA,LIT/NONLIT,BOARD LOCATION,Contact,Email,img_link,file_name
14, Solapur,Saat Rasta,,,20X20,Saat Rasta,,,NL,Saat Rasta,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur 7 Rasta 20x20 (3).JPG,1_Q00014_thumb_front
15, Solapur,Saat Rasta,,,40X10,Saat Rasta,,,NL,Saat Rasta,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_saat_rasta_40x10__1_.JPG,1_Q00015_thumb_front
16, Solapur,Hotgi Road,,,40X20,Hotgi Road,,,NL,Hotgi Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Hotagi_Road_40x20__5_.JPG,1_Q00016_thumb_front
17, Solapur,Hotgi Road,,,40X20,Hotgi Road,,,NL,Hotgi Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur Hotagi Road 40x20.JPG,1_Q00017_thumb_front
18, Solapur,Hotgi Road,,,20X20,Hotgi Road,,,NL,Hotgi Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Hotagi_Road_20x20.JPG,1_Q00018_thumb_front
19, Solapur,Hotgi Road,,,20X20,Hotgi Road,,,NL,Hotgi Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Hotagi_Road_20x20__4_.JPG,1_Q00019_thumb_front
20, Solapur,Hotgi Road,,,20X20,Hotgi Road,,,NL,Hotgi Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_hotgi_road_20x20__5___3_.JPG,1_Q00020_thumb_front
21, Solapur,D Mart road,,,20X15,D Mart road,,,NL,D Mart road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_D-mart_20x15.JPG,1_Q00021_thumb_front
22, Solapur,D Mart road,,,30X20,D Mart road,,,NL,D Mart road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_D_Mart_30x20__5_.JPG,1_Q00022_thumb_front
23, Solapur,D Mart road,,,20X20,D Mart road,,,NL,D Mart road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_D_Mart_20x20 (1).jpg,1_Q00023_thumb_front
24, Solapur,Rangbhavan,,,40X20,,,,NL,Rangbhavan,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Rangbhavan_40x20 PNG.JPG,1_Q00024_thumb_front
25, Solapur,Rangbhavan,,,40X20,,,,NL,Rangbhavan,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Rangbhavan_40x20_2.JPG,1_Q00025_thumb_front
26, Solapur,Rangbhavan,,,40X20,,,,NL,Rangbhavan,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Rangbhavan_40x20_3.JPG,1_Q00026_thumb_front
27, Solapur,Rangbhavan,,,70X20,,,,NL,Rangbhavan,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Rangbhavan_70x20_3.JPG,1_Q00027_thumb_front
28, Solapur,Rangbhavan,,,30X20,,,,NL,Rangbhavan,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_rangbhavan_30x20__5___4_.JPG,1_Q00028_thumb_front
29, Solapur,Rangbhavan,,,20X20,,,,NL,Rangbhavan,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Rangbhavan_20x20.JPG,1_Q00029_thumb_front
30, Solapur,Opp Vodafone Office,,,20X10,,Opp Vodafone Office,,NL,Opp Vodafone Office,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur Vodafoone Office 20x10 (1).JPG,1_Q00030_thumb_front
31, Solapur,Opp Vodafone Office,,,20X10,,Opp Vodafone Office,,NL,Opp Vodafone Office,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur Vodafone Office 20x10 (2).JPG,1_Q00031_thumb_front
32, Solapur,Opp Collector Bunglow,,,30X20,,Opp Collector Bunglow,,NL,Opp Collector Bunglow,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Opp_Collector_Bunglow_30x20.jpg,1_Q00032_thumb_front
33, Solapur,Opp Collector Bunglow,,,40X20,,Opp Collector Bunglow,,NL,Opp Collector Bunglow,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Opp_Collector_Banglow_40x20__1_.JPG,1_Q00033_thumb_front
34, Solapur,Home maidan,,,20X20,,,,NL,Home maidan,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Home_Maidan_20x20.JPG,1_Q00034_thumb_front
35, Solapur,Daffrin Hospital road,,,40X20,Daffrin Hospital road,Opp Sidheshwar Mandir,,NL,Daffrin Hospital road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur Daffrin Hospital road 40'x20' (2).JPG,1_Q00035_thumb_front
36, Solapur,Opp Sidheshwar Mandir,,,40X20,,,,NL,Opp Sidheshwar Mandir,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Opp Sidheshwar_Mandir_40X20__4_.JPG,1_Q00036_thumb_front
37, Solapur,Daffrin Chauk,,,20X20,,,,NL,Daffrin Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Duffrin_Chowk_20x20__1_.JPG,1_Q00037_thumb_front
38, Solapur,Lucky Chowk,,,40X10,,,,NL,Lucky Chowk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Lucky_Chowk_40x10__5_.JPG,1_Q00038_thumb_front
39, Solapur,Lucky Chowk,,,50X15,,,,NL,Lucky Chowk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur Lucky Chauk 50x15.jpg,1_Q00039_thumb_front
40, Solapur,Shivaji Chauk,,,30X30,,,,NL,Shivaji Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Ssolapur_Shivaji_Chowk_30x30__3_.JPG,1_Q00040_thumb_front
41, Solapur,Shivaji Chauk,,,20X20,,,,NL,Shivaji Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Shivaji_Chuak_20x20.JPG,1_Q00041_thumb_front
42, Solapur,Shinde Chauk,,,20X10,,,,NL,Shinde Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Shinde_Chowk_20x10.JPG,1_Q00042_thumb_front
43, Solapur,P W D,,,20X10,,,,NL,P W D,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_P_W_D_Office_20x10__3_.JPG,1_Q00043_thumb_front
44, Solapur,Pune Road,,,40X10,Pune Road,,,NL,Pune Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur Pune Road 40x10 (3).JPG,1_Q00044_thumb_front
45, Solapur,Pune Road,,,80X20,Pune Road,,,NL,Pune Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur Pune road 80x20 (3).JPG,1_Q00045_thumb_front
46, Solapur,Gurunanak Chauk,,,40X20,,Gurunanak Chauk,,NL,Gurunanak Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur Gurunanak Chowk 40x20 (1).JPG,1_Q00046_thumb_front
47, Solapur,Gurunanak Chauk,,,20X10,,Gurunanak Chauk,,NL,Gurunanak Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Gurunanak_Chowk_20x10__4_.JPG,1_Q00047_thumb_front
48, Solapur,Rajendra Chauk,,,30X10,,,,NL,Rajendra Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Rajendra_chowk_30x10.JPG,1_Q00048_thumb_front
49, Solapur,Samachar Chauk,,,20X15,,,,NL,Samachar Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Rajendra_chowk_30x10.JPG,1_Q00049_thumb_front
50, Solapur,Ramlal Chauk,,,20X15,,,,NL,Ramlal Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Samachar__chowk_20x15.JPG,1_Q00050_thumb_front
51, Solapur,Ashok Chauk,,,20X20,,,,NL,Ashok Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Ashok_Chauk_20x20__1_.JPG,1_Q00051_thumb_front
52, Solapur,Gaintal Chauk,,,20X20,,,,NL,Gaintal Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Gentyal_Chowk_20x20__4_.JPG,1_Q00052_thumb_front
53, Solapur,Civil Chauk,,,20X20,,,,NL,Civil Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur Civil Chowk 20x20 (1).JPG,1_Q00053_thumb_front
54, Solapur,Opp HQ,,,30X30,,,,NL,Opp HQ,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Opp_Police_H_Q_30X30__1_.JPG,1_Q00054_thumb_front
55, Solapur,VIP Road,,,40X20,VIP Road,,,NL,VIP Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_VIP_Road_40x20_1.JPG,1_Q00055_thumb_front
56, Solapur,VIP Road,,,40X20,VIP Road,,,NL,VIP Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_VIP_Road_40x20_PNG.JPG,1_Q00056_thumb_front
57, Solapur,VIP Road,,,20X21,VIP Road,,,NL,VIP Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_VIP_Road_20x21_.JPG,1_Q00057_thumb_front
58, Solapur,VIP Road,,,20X20,VIP Road,,,NL,VIP Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur VIP Road 20x20.JPG,1_Q00058_thumb_front
59, Solapur,D Mart Chauk,,,20X20,,,,NL,D Mart Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_D_Mart_20x20 (1).jpg,1_Q00059_thumb_front
60, Solapur,D Mart Chauk,,,30X20,,,,NL,D Mart Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_D_Mart_30x20__5_.JPG,1_Q00060_thumb_front
61, Solapur,Vijapur Road,,,40X20,Vijapur Road,,,NL,Vijapur Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur Vijapur Road Nr.Dudh Sangh 40x20 (6).JPG,1_Q00061_thumb_front
62, Solapur,Rangbhavan,,,40X20,,,,NL,Rangbhavan,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur Rangbhavan 40x20.JPG,1_Q00062_thumb_front
63, Solapur,Hutatma Garden,,,20X20,,,,NL,Hutatma Garden,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Hutatma_Bag_20x20__1_.JPG,1_Q00063_thumb_front
64, Solapur,Hutatma Chauk,,,20X20,,,,NL,Hutatma Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Hutatma_Bag_20x20__1_.JPG,1_Q00064_thumb_front
65, Solapur,Saraswati Chauk,,,20X20,,,,NL,Saraswati Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Saraswati_Chowk_20x20.JPG,1_Q00065_thumb_front
66, Solapur,Saraswati Chauk,,,20X20,,,,NL,Saraswati Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Saraswati_Chowk__20x20.JPG,1_Q00066_thumb_front
67, Solapur,Shivaji Chauk,,,40X30,,,,NL,Shivaji Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Shivaji_Chowk_40x30.JPG,1_Q00067_thumb_front
68, Solapur,Shivaji Chauk,,,20X20,,,,NL,Shivaji Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Shivaji_Chuak_20x20.JPG,1_Q00068_thumb_front
69, Solapur,Opp Bus Stand,,,40X20,,,,NL,Opp Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Opp_Bus_Stand_40x20__6_.JPG,1_Q00069_thumb_front
70, Solapur,Vijapur Road,,,30X15,,,,NL,Vijapur Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur Vijapur Road 30x15 (4).JPG,1_Q00070_thumb_front
71, Solapur,Ashok Nagar Vijapur Road FCG Saat Rasta,,,20X20,,,,NL,Ashok Nagar Vijapur Road FCG Saat Rasta,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Ashok_nagar_20x20__1___1_.jpg,1_Q00071_thumb_front
72, Solapur,Ashok Nagar Vijapur Road FCG Vijapur Road,,,20X20,,,,NL,Ashok Nagar Vijapur Road FCG Vijapur Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Ashoknagar_Fcg_Vijapur 20x20.jpg,1_Q00072_thumb_front
73, Solapur,Railway Station,Rly Station ,Solapur City,32x16,Station Road,opp Railway Station,,NL,Railway Station,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur Opp.Railway Station 32x16.JPG,1_Q00073_thumb_front
74, Solapur,Solapur Taluka places,,,,Solapur Taluka places,,Solapur Taluka places,,Solapur Taluka places,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Pandharpur_Sargam Talkies_20x20 (2).JPG,1_Q00074_thumb_front
75, Solapur,Pandharpur-Sargam Talkies,,,20X20,,,,NL,Pandharpur-Sargam Talkies,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Pandharpur_Sargam Talkies_20x20 (2).JPG,1_Q00075_thumb_front
76, Solapur,Sangola Bus Stand,,,20X10,,,,NL,Sangola Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Sangola Bus Stand 20x10 (1).JPG,1_Q00076_thumb_front
77, Solapur,Sangola Bus Stand,,,20X10,,,,NL,Sangola Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Sangola Bus Stand 20x10 (2).JPG,1_Q00077_thumb_front
78, Solapur,Sangola Bus Stand,,,20X10,,,,NL,Sangola Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Sangola Bus Stand 20x10 (3).JPG,1_Q00078_thumb_front
79, Solapur,Mangalvedha Bus Stand,,,20X10,,,,NL,Mangalvedha Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Mangalwedha_Bus_Stand_20x10 (1).JPG,1_Q00079_thumb_front
80, Solapur,Mangalvedha Bus Stand,,,20X10,,,,NL,Mangalvedha Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Mangalwedha_Bus_Stand_20x10 (2).JPG,1_Q00080_thumb_front
81, Solapur,Mangalvedha Opp Bus Stand,,,20X10,,,,NL,Mangalvedha Opp Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Mangalvedha_Opp_Bus_Stand_20_x10_2_.JPG,1_Q00081_thumb_front
82, Solapur,Malshiras Bus Stand,,,20X10,,,,NL,Malshiras Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Malshiras_Bus_Stand_20x10.JPG,1_Q00082_thumb_front
83, Solapur,Malshiras Bus Stand,,,20X10,,,,NL,Malshiras Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Malshiras  Bus Stand 20x10 (2).JPG,1_Q00083_thumb_front
84, Solapur,Natepute Opp Bus Stand,,,20X10,,,,NL,Natepute Opp Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Natepute Bus Stand 20x10 (1).JPG,1_Q00084_thumb_front
85, Solapur,Natepute Bus Stand road,,,20X10,,,,NL,Natepute Bus Stand road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Natepute_Bus_Stand_BTB 20x10__2_.JPG,1_Q00085_thumb_front
86, Solapur,Natepute Bus Stand,,,20X10,,,,NL,Natepute Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Natepute_Bus_Stand_On Bulding 20X10__6_.JPG,1_Q00086_thumb_front
87, Solapur,Natepute Bus Stand,,,20X10,,,,NL,Natepute Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Natepute_Bus Stand_20x10 (3).JPG,1_Q00087_thumb_front
88, Solapur,Akluj Bus Stand Chauk,,,20X10,,,,NL,Akluj Bus Stand Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Akkalkot_Bus_Stand_20x10__5___1_.JPG,1_Q00088_thumb_front
89, Solapur,Akluj Bus Stand Chauk,,,20X10,,,,NL,Akluj Bus Stand Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Akkalkot_Bus_Stand_20X10__2_.JPG,1_Q00089_thumb_front
90, Solapur,Akluj Bus Stand,,,20X10,,,,NL,Akluj Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Akluj_Bus_Stand_20X10_PNG New_.JPG,1_Q00090_thumb_front
91, Solapur,Akluj Old Bus Stand,,,20X10,,,,NL,Akluj Old Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Akluj_Bus_Stand_Out Gate 20X10 Old PNG.JPG,1_Q00091_thumb_front
92, Solapur,Akluj Old Bus Stand,,,20X10,,,,NL,Akluj Old Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Akluj[1] old bus stand. 20x10 (2).JPG,1_Q00092_thumb_front
93, Solapur,Tembhurni Bus Stand,,,20X10,,,,NL,Tembhurni Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Temburni_Bus_Stand_20X10_1.JPG,1_Q00093_thumb_front
94, Solapur,Tembhurni Bus Stand,,,20X10,,,,NL,Tembhurni Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Temburni_Bus_Stand_20X10_2.JPG,1_Q00094_thumb_front
95, Solapur,Karmala Bus Stand,,,20X10,,,,NL,Karmala Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Karmala_Bus_Stand_20x10.JPG,1_Q00095_thumb_front
96, Solapur,Karmala Bus Stand,,,20X10,,,,NL,Karmala Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Karmala_Bus_Stand_20X10__1_.JPG,1_Q00096_thumb_front
97, Solapur,Kurduwadi Bus Stand,,,20X10,,,,NL,Kurduwadi Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Kurduwadi_bus_stand_20x10 (1).jpg,1_Q00097_thumb_front
98, Solapur,Kurduwadi Bus Stand,,,20X10,,,,NL,Kurduwadi Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Kurduwadi_bus_stand_20x10 (2).JPG,1_Q00098_thumb_front
99, Solapur,Kurduwadi Bus Stand,,,20X10,,,,NL,Kurduwadi Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Kurduwadi_bus_stand_20x10 (3).JPG,1_Q00099_thumb_front
100, Solapur,Mohol Bus Stand,,,20X10,,,,NL,Mohol Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Mohol Bus Stand   20x10 (13).jpg,1_Q00100_thumb_front
101, Solapur,Mohol Bus Stand,,,20X10,,,,NL,Mohol Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Mohol Bus Stand   20x10 (3).JPG,1_Q00101_thumb_front
102, Solapur,Mohol Opp Bus Stand,,,20X10,,,,NL,Mohol Opp Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Mohol_Opp.Bus_Stand_20X10__1_.JPG,1_Q00102_thumb_front
103, Solapur,Mohol Bus Stand,,,20X10,,,,NL,Mohol Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Mohol_Bus Stand_20x10 (1).JPG,1_Q00103_thumb_front
104, Solapur,Mohol Bus Stand,,,20X10,,,,NL,Mohol Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/MoholBus_Stand_20_x20_.JPG,1_Q00104_thumb_front
105, Solapur,Barshi Bus Stand,,,20X10,,,,NL,Barshi Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Barshi_Bus_Stand_20x10.JPG,1_Q00105_thumb_front
106, Solapur,Barshi Bus Stand,,,20X10,,,,NL,Barshi Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Barshi_Bus_Stand_20x10 (2).JPG,1_Q00106_thumb_front
107, Solapur,Barshi Bus Stand,,,20X10,,,,NL,Barshi Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Barshi_Bus_Stand_20x10 (3).JPG,1_Q00107_thumb_front
108, Solapur,Barshi Bus stand road,,,20X10,,,,NL,Barshi Bus stand road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Barshi_Bus_Stand_20x10 (4).JPG,1_Q00108_thumb_front
109, Solapur,Barshi Bus Stand Chauk,,,20X10,,,,NL,Barshi Bus Stand Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Barshi_Bus_Stand_20X10__4_.JPG,1_Q00109_thumb_front
110, Solapur,Akkalkot Bus Stand Chauk,,,20X10,,,,NL,Akkalkot Bus Stand Chauk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Akkalkot_Bus_Stand_20X10-__1_.JPG,1_Q00110_thumb_front
111, Solapur,Akkalkot  Bus Stand,,,20X10,,,,NL,Akkalkot  Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Akkalkot_Bus_Stand_20X10__2_.JPG,1_Q00111_thumb_front
112, Solapur,Akkalkot Opp Bus Stand,,,20X10,,,,NL,Akkalkot Opp Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Akkalkot_  Opp. Bus Stand 20x10_ (4).JPG,1_Q00112_thumb_front
113, Solapur,Akkalkot  Bus Stand,,,20X10,,,,NL,Akkalkot  Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Akkalkot_Bus_Stand_20x10__5___1_.JPG,1_Q00113_thumb_front
114, Solapur,Akkalkot  Bus Stand,,,20X10,,,,NL,Akkalkot  Bus Stand,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Akkalkot_Bus_Stand_20x10__6_.JPG,1_Q00114_thumb_front
115, Satara,Satara City,Satara ,Satara ,Satara,Satara City,Satara,Satara City,Satara,Satara City,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Powai Naka Circle  60x20.jpg,1_Q00115_thumb_front
116, Satara,Powoi Naka Circle,,,60X20,,,,NL,Powoi Naka Circle,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Powai Naka Circle  60x20.jpg,1_Q00116_thumb_front
117, Satara,Powoi Naka Circle,,,20X20,,,,NL,Powoi Naka Circle,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Powai Naka Circle  20x20.jpg,1_Q00117_thumb_front
118, Satara,Powoi Naka Circle,,,20X20,,,,NL,Powoi Naka Circle,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Satara Powai Naka 20x20.jpg,1_Q00118_thumb_front
119, Satara,Powoi Naka Circle,,,40X20,,,,NL,Powoi Naka Circle,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Satara Powai Naka 40'x20' (4).JPG,1_Q00119_thumb_front
